mRNA levels of 464 genes that differentially expressed during RGC ageing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two sided p value and adjusted p value (q value) were given by the exact test of the edgeR Bioconductor package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gene selection criteria for Fig. 4c, 4d and 9i: genes significantly changed during ageing (q < 0.05, absolute log2 fold-change > 1), not low expressed (log2(CPM) > - 2) or altered by mock AAV infection (Old vs Old (-OSK), q > 0.1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene,length,5 mo_rep1,5 mo_rep2,5 mo_rep3,5 mo_rep4,5 mo_rep5,12 mo_rep1,12 mo_rep2,12 mo_rep3,12 mo_rep4,12 mo_rep5,12 mo_rep6,12 mo (-OSK)_rep1,12 mo (-OSK)_rep2,12 mo (-OSK)_rep3,12 mo (-OSK)_rep4,12 mo (-OSK)_rep5,12 mo (+OSK)_rep1,12 mo (+OSK)_rep2,12 mo (+OSK)_rep3,12 mo(+OSK)_rep4,,logCPM,AAV effect,logFC (12 mo (-OSK)/12 mo),PValue,QValue, Ageing,logFC (12m/5m),PValue,QValue,OSK,logFC (12 mo (+OSK)/12 mo (-OSK)),PValue,QValue
Vwc2l,697,0.777697822,0.960520809,1.022075443,1.265608015,1.062798828,2.959552495,2.916891784,1.062932772,1.705199107,2.401509051,2.229124506,4.099294993,2.910840848,2.32235948,3.840055568,2.99174437,1.253135566,0.363247361,1.680608863,1.728705381,,3.915412504,,0.459922371,0.106738491,0.380559513,,1.083352784,0.000262736,0.010049137,,-1.281703242,0.000103726,0.0010099
Zfp608,697,0.933287982,0.72502308,1.295381662,1.2039813,1.295139862,2.470921788,1.818061834,2.970350383,1.83440336,2.343983599,2.308120527,2.094131789,2.042434659,2.931221032,2.320706576,2.391200717,0.991761353,0.677688952,1.438046009,1.059309835,,3.89401478,,-0.05697546,0.755711183,1,,1.03039099,2.69E-08,6.60E-06,,-1.070583461,2.37E-07,4.64E-06
Hs6st2,1366,0.771299445,1.013574517,1.2014582,1.135844591,0.924892835,2.069767088,2.760028648,1.742436224,1.5906755,1.977367348,2.974456381,2.483608794,2.102747541,3.80036689,3.55498289,4.197629195,0.788173953,0.727243754,0.95157653,1.179169673,,3.873514471,,0.456107638,0.02520744,0.117821364,,1.079902345,4.25E-07,6.28E-05,,-1.704035961,1.49E-12,9.56E-11
Ephx1,2220,1.736981182,1.487910065,3.445104371,1.122099472,3.015528382,6.03100171,8.554856043,7.060386891,7.161047101,8.272940454,7.197446903,10.81516106,8.703108803,8.053677001,9.599308545,9.151788036,10.42057144,12.06899206,12.63647239,10.86291396,,3.847591719,,0.235480055,0.259485738,0.723690986,,1.728235897,1.25E-14,6.77E-11,,0.426092502,0.063650882,0.195638016
Cfh,573,0.952749231,0.830659561,0.554412597,1.057800158,0.417777144,1.07212973,0.790462711,1.864810834,1.455948008,2.36256942,2.425088385,2.088240079,2.316822618,2.190178976,2.299969404,2.874737957,2.162223972,1.360010856,2.465115013,2.224310694,,3.817259693,,0.408897773,0.118621938,0.412352806,,1.081424879,7.68E-05,0.003935713,,-0.090922454,0.762962917,1
Lrrc38,6817,1.691361481,1.702447559,2.145288745,3.295322244,3.813966383,6.150692573,6.500193616,7.788739988,4.930740952,9.739571895,5.782958825,7.59189194,5.352530077,12.49073036,10.99355171,9.407261067,3.612377192,5.339193508,2.858953912,4.506850464,,3.736962739,,0.325388781,0.188520128,0.580989079,,1.393354849,9.13E-08,1.80E-05,,-1.021127954,0.000314952,0.002630905
Ednrb,1528,1.244880247,0.902714903,1.77285024,1.822196844,1.094616595,3.832606314,4.822885322,3.973077331,3.148397363,5.748006448,4.496295358,3.274218438,3.165227719,3.595494719,4.5804089,4.333092688,2.146826389,2.597389072,2.011233777,2.774495973,,3.709506,,-0.290930535,0.144278248,0.47765629,,1.626446373,8.44E-15,5.19E-11,,-0.54149931,0.015558558,0.066136121
Gpr75,393,0.986096631,2.271667824,2.65694994,3.306110255,3.014497785,6.192326456,8.156009514,4.536599431,3.970928087,5.70001639,4.375133557,7.254752002,5.057298833,7.245049691,8.303260435,6.84784632,2.184474725,1.690020325,2.181348552,2.295440949,,3.681195954,,0.241444629,0.303736089,0.800018228,,1.132341248,3.98E-06,0.000376469,,-1.616362474,5.15E-09,1.51E-07
Sstr2,902,1.912267353,1.723155507,3.923473973,2.928779659,1.513206562,5.733237174,4.800380024,6.757268029,2.785516286,10.86330118,8.990320454,13.35736498,9.796628556,8.952133523,11.05465144,14.31234871,4.340392335,3.012585876,1.562418455,2.169788648,,3.676990321,,0.704892889,0.023190218,0.109920167,,1.424733321,1.33E-05,0.001002902,,-1.914500443,2.08E-07,4.13E-06
Cd14,288,2.655764146,2.954421465,3.36644148,2.027983047,2.546310773,4.637141516,5.190374072,8.804126988,4.769728519,11.11974906,11.00092661,7.34829865,10.62620388,9.437457908,6.988706625,10.93613886,6.774913691,9.622678812,12.74688655,12.2844219,,3.656692389,,0.162590514,0.501182916,1,,1.440920361,1.93E-08,5.05E-06,,0.301553279,0.259118653,0.543939817
Cryaa,421,0.120856109,0.076232912,0,0,0.104136213,14.92232906,10.9373862,0.475592006,0.872893819,0,0.081946759,12.3941171,14.18910633,20.20239339,34.13015578,1.824796965,0,0.088221642,6.753781435,7.87329101,,3.646788842,,1.764671667,0.128259133,0.43731062,,6.118533162,5.73E-05,0.003178908,,-2.107879762,0.136593731,0.344359835
Il1rap,1204,0.478530614,0.529389256,0.353333768,0.537291422,0.460538734,1.245668079,1.056492088,1.129865937,1.468506443,1.385134925,1.523755264,1.168892114,1.392165076,0.63681525,1.472716999,1.100870004,0.755806672,1.072125929,1.243440446,1.343722034,,3.537410736,,-0.261427623,0.211353876,0.630608951,,1.428412555,6.32E-11,5.14E-08,,0.039584173,0.863915803,1
Trpc4,664,0.458145767,0.472887027,0.93108523,0.645210138,0.759022301,2.077259161,1.678858546,1.789233337,1.473123389,2.150634919,1.477337237,2.282464929,2.072629909,2.753329134,3.406957189,1.886592879,0.587933277,0.587159401,0.781622591,0.754345701,,3.528770477,,0.387226415,0.042271784,0.180897217,,1.399019633,5.36E-12,7.23E-09,,-1.755245289,1.02E-14,1.12E-12
